snapped_at,price,market_cap,total_volume
2017-01-01 00:00:00,998.05,16045986192.85,3470830329.607551
2017-01-02 00:00:00,976.67275,15703795930.052502,3649607648.2839704
2017-01-03 00:00:00,955.2955000000001,15361605667.255001,3828384966.9603896
2017-01-04 00:00:00,933.9182500000001,15019415404.4575,4007162285.636809
2017-01-05 00:00:00,912.541,14677225141.660002,4185939604.3132277
2017-01-06 00:00:00,891.1637500000002,14335034878.862503,4364716922.989647
2017-01-07 00:00:00,869.7865000000002,13992844616.065002,4543494241.666066
2017-01-08 00:00:00,848.4092500000002,13650654353.267502,4722271560.342485
2017-01-09 00:00:00,827.0320000000002,13308464090.470003,4901048879.018905
2017-01-10 00:00:00,805.6547500000003,12966273827.672504,5079826197.695324
2017-01-11 00:00:00,784.2775000000003,12624083564.875004,5258603516.371743
2017-01-12 00:00:00,799.4275,12869633173.255,3344901197.95181
2017-01-13 00:00:00,824.4988000000003,13274790985.975603,1860269657.1335683
2017-01-14 00:00:00,817.8250000000003,13169067953.750004,1204479772.0607476
2017-01-15 00:00:00,821.9124999999998,13236623006.074997,923896735.4232056
2017-01-16 00:00:00,828.3099999999998,13341392032.219995,831361487.5460993
2017-01-17 00:00:00,904.1525000000004,14564800038.017504,1316827456.7886617
2017-01-18 00:00:00,873.9349999999996,14079682756.124992,1147970282.1944575
2017-01-19 00:00:00,896.89,14451431614.25,875858520.4030075
2017-01-20 00:00:00,891.4588,14366002978.3256,613796288.0985693
2017-01-21 00:00:00,919.6775000000004,14822821174.630005,683491208.3440663
2017-01-22 00:00:00,918.7788120146554,14810403902.437784,830201798.1765068
2017-01-23 00:00:00,918.9075,14814052397.812502,467022882.8612433
2017-01-24 00:00:00,885.7887999999999,14281760609.6256,378666162.5916256
2017-01-25 00:00:00,893.4737999999999,14407365094.065598,381951425.9179588
2017-01-26 00:00:00,915.36,14762033603.999998,58349366.78102703
2017-01-27 00:00:00,918.2875,14811184892.8875,49029317.21219829
2017-01-28 00:00:00,920.245,14844529150.19,21882209.48833088
2017-01-29 00:00:00,914.1424999999998,14747986190.022495,20288320.82125005
2017-01-30 00:00:00,920.991145882262,14860100039.695711,30166025.39613328
2017-01-31 00:00:00,968.2663,15624634422.4056,101775253.2428098
2017-02-01 00:00:00,968.0109362957737,15622317705.769073,102307017.81941724
2017-02-02 00:00:00,967.7555725915473,15620000989.13255,102838782.39602469
2017-02-03 00:00:00,967.500208887321,15617684272.496023,103370546.97263213
2017-02-04 00:00:00,967.2448451830948,15615367555.859497,103902311.54923956
2017-02-05 00:00:00,966.9894814788684,15613050839.222971,104434076.12584701
2017-02-06 00:00:00,966.7341177746421,15610734122.586447,104965840.70245445
2017-02-07 00:00:00,966.4787540704157,15608417405.94992,105497605.27906188
2017-02-08 00:00:00,966.2233903661894,15606100689.313395,106029369.85566932
2017-02-09 00:00:00,965.9680266619631,15603783972.676868,106561134.43227677
2017-02-10 00:00:00,965.7126629577367,15601467256.040344,107092899.0088842
2017-02-11 00:00:00,965.4572992535104,15599150539.403818,107624663.58549164
2017-02-12 00:00:00,965.2019355492841,15596833822.767292,108156428.1620991
2017-02-13 00:00:00,964.9465718450577,15594517106.130766,108688192.73870653
2017-02-14 00:00:00,964.6912081408315,15592200389.494242,109219957.31531397
2017-02-15 00:00:00,964.4358444366051,15589883672.857716,109751721.89192142
2017-02-16 00:00:00,964.1804807323788,15587566956.22119,110283486.46852885
2017-02-17 00:00:00,963.9251170281525,15585250239.584663,110815251.04513629
2017-02-18 00:00:00,963.6697533239261,15582933522.94814,111347015.62174374
2017-02-19 00:00:00,963.4143896196998,15580616806.311613,111878780.19835117
2017-02-20 00:00:00,963.1590259154735,15578300089.675087,112410544.77495861
2017-02-21 00:00:00,962.9036622112471,15575983373.03856,112942309.35156605
2017-02-22 00:00:00,962.6482985070209,15573666656.402037,113474073.9281735
2017-02-23 00:00:00,962.3929348027945,15571349939.76551,114005838.50478093
2017-02-24 00:00:00,962.1375710985682,15569033223.128984,114537603.08138838
2017-02-25 00:00:00,961.8822073943419,15566716506.492458,115069367.65799582
2017-02-26 00:00:00,961.6268436901155,15564399789.855934,115601132.23460326
2017-02-27 00:00:00,961.3714799858892,15562083073.219408,116132896.81121069
2017-02-28 00:00:00,961.1161162816629,15559766356.582882,116664661.38781814
2017-03-01 00:00:00,960.8607525774365,15557449639.946358,117196425.96442558
2017-03-02 00:00:00,960.6053888732102,15555132923.309832,117728190.54103301
2017-03-03 00:00:00,960.350025168984,15552816206.673306,118259955.11764047
2017-03-04 00:00:00,960.0946614647576,15550499490.03678,118791719.6942479
2017-03-05 00:00:00,959.8392977605313,15548182773.400255,119323484.27085534
2017-03-06 00:00:00,959.5839340563049,15545866056.76373,119855248.84746277
2017-03-07 00:00:00,959.3285703520786,15543549340.127203,120387013.42407022
2017-03-08 00:00:00,959.0732066478523,15541232623.490677,120918778.00067766
2017-03-09 00:00:00,958.8178429436259,15538915906.854153,121450542.57728511
2017-03-10 00:00:00,958.5624792393996,15536599190.217627,121982307.15389255
2017-03-11 00:00:00,958.3071155351734,15534282473.5811,122514071.73049998
2017-03-12 00:00:00,958.051751830947,15531965756.944574,123045836.30710742
2017-03-13 00:00:00,957.7963881267207,15529649040.30805,123577600.88371487
2017-03-14 00:00:00,957.5410244224943,15527332323.671524,124109365.4603223
2017-03-15 00:00:00,957.285660718268,15525015607.034998,124641130.03692976
2017-03-16 00:00:00,957.0302970140417,15522698890.398472,125172894.61353719
2017-03-17 00:00:00,956.7749333098153,15520382173.761948,125704659.19014463
