snapped_at,price,market_cap,total_volume
2020-07-28 00:00:00 UTC,10962.258481207355,202191797991.40768,34694788843.590096
2020-07-29 00:00:00 UTC,10904.916526918994,201144184191.06567,27637575180.450962
2020-07-30 00:00:00 UTC,11093.612240442404,204969785090.6761,23642111784.048485
2020-07-31 00:00:00 UTC,11116.307163685275,205200775318.21756,22265381996.186665
2020-08-01 00:00:00 UTC,11325.5515272739,208933774575.1489,22329797905.441616
2020-08-02 00:00:00 UTC,11812.094307268515,217741425308.62857,26198946496.277836
2020-08-03 00:00:00 UTC,11066.306240590267,204126077224.646,27584591853.069736
2020-08-04 00:00:00 UTC,11230.907762749297,207218525401.74573,20583344056.841503
2020-08-05 00:00:00 UTC,11181.917508034885,206583502227.55646,20527193170.963608
2020-08-06 00:00:00 UTC,11719.26352395155,216249264843.70206,22359870185.20913
2020-08-07 00:00:00 UTC,11768.127742240009,217128467890.10898,21793317050.968628
2020-08-08 00:00:00 UTC,11571.487980683192,213579066889.25037,21624736673.079872
2020-08-09 00:00:00 UTC,11739.131006414418,216526346494.08014,17286825185.217506
2020-08-10 00:00:00 UTC,11682.851469154939,215621627427.59085,17051550190.814676
2020-08-11 00:00:00 UTC,11862.938012702563,218920276229.41245,24145919191.344177
2020-08-12 00:00:00 UTC,11398.671060896633,210825577055.42203,24448699831.26472
2020-08-13 00:00:00 UTC,11579.867951602135,213770877597.90494,22803776234.97776
2020-08-14 00:00:00 UTC,11817.164038803397,217185020504.78033,24755770184.138535
2020-08-15 00:00:00 UTC,11777.391322489924,216916952670.3025,21650925951.996807
2020-08-16 00:00:00 UTC,11864.905810156475,219049736823.3334,21285690552.515503
2020-08-17 00:00:00 UTC,11901.776488302461,219750735622.69547,19209711614.40851
2020-08-18 00:00:00 UTC,12272.465808160425,226536103501.8635,25481896190.555748
2020-08-19 00:00:00 UTC,11949.610970628193,220980135332.21396,24825715158.705486
2020-08-20 00:00:00 UTC,11733.278970862082,216660276172.5052,23384200655.888924
2020-08-21 00:00:00 UTC,11861.83657727968,219044968220.88754,20353349054.591465
2020-08-22 00:00:00 UTC,11515.124298729217,212896669545.7498,23406354443.011192
2020-08-23 00:00:00 UTC,11676.385305081287,215641597239.98148,19572783953.57896
2020-08-24 00:00:00 UTC,11647.928120934363,215347356765.4613,18467219109.184135
2020-08-25 00:00:00 UTC,11758.828120368864,217410678530.35837,20061559392.103256
2020-08-26 00:00:00 UTC,11350.753473213,209658632328.37,23423332918.936924
2020-08-27 00:00:00 UTC,11465.002564032086,211778947737.22385,20869928785.800804
2020-08-28 00:00:00 UTC,11300.398363810944,208747591910.15524,21595917446.043972
2020-08-29 00:00:00 UTC,11519.118388160729,212799723684.94672,19271253870.82992
2020-08-30 00:00:00 UTC,11481.481823317012,212114842611.5429,18415439613.538937
2020-08-31 00:00:00 UTC,11701.004008657852,216179629567.18042,19909556666.601448
2020-09-01 00:00:00 UTC,11672.324104943627,215921598551.33038,21077276617.8664
2020-09-02 00:00:00 UTC,11895.225345345636,221315690777.34525,25232603061.53493
2020-09-03 00:00:00 UTC,11418.254756916149,210746091569.71368,26038738388.798878
2020-09-04 00:00:00 UTC,10197.459822768922,188438095255.46017,49411126240.51858
2020-09-05 00:00:00 UTC,10484.470392265588,194040447575.93134,27623487077.06882
2020-09-06 00:00:00 UTC,10177.789718049991,188092098308.3525,56430042198.69171
2020-09-07 00:00:00 UTC,10260.0177277544,189621410257.03525,28801019507.333485
2020-09-08 00:00:00 UTC,10359.445216989981,191501904758.68698,26560146962.23275
2020-09-09 00:00:00 UTC,10125.014956069688,186825391248.7263,47780699209.09236
2020-09-10 00:00:00 UTC,10230.154699360752,188757938083.84296,21357083446.312523
2020-09-11 00:00:00 UTC,10342.159391205681,191180566587.0585,77545788530.61436
2020-09-12 00:00:00 UTC,10378.223044584596,192111562749.9339,20796810115.947914
2020-09-13 00:00:00 UTC,10439.38467226404,192997988416.4807,19955498078.251053
2020-09-14 00:00:00 UTC,10328.866065987393,190922719938.2308,21057424433.480133
2020-09-15 00:00:00 UTC,10661.096235144483,197010021430.2403,23526143436.490395
2020-09-16 00:00:00 UTC,10787.58020807624,199044338127.62628,23802088944.396893
2020-09-17 00:00:00 UTC,10952.249969107099,202524001250.4926,24459086808.776905
2020-09-18 00:00:00 UTC,10937.996396960929,202358479464.18542,23547167125.342415
2020-09-19 00:00:00 UTC,10927.150310293275,202091264904.96927,20681771888.399273
2020-09-20 00:00:00 UTC,11083.99836119821,204994315602.9869,18334274060.30012
2020-09-21 00:00:00 UTC,10923.32666818137,202032519471.26855,20161733906.963223
2020-09-22 00:00:00 UTC,10439.522488792423,193677795064.08533,23757059692.357033
2020-09-23 00:00:00 UTC,10527.58784673943,194731087415.28983,19866578108.977962
2020-09-24 00:00:00 UTC,10223.784106392732,189120580778.46335,19981974722.351273
2020-09-25 00:00:00 UTC,10726.530083321983,198514026300.17914,21348447554.09249
2020-09-26 00:00:00 UTC,10681.993848113701,197616950282.06653,19119761059.475536
2020-09-27 00:00:00 UTC,10743.19287975935,198687083452.04324,16886146730.050009
2020-09-28 00:00:00 UTC,10765.300521660893,199236216251.43555,17639951627.948776
2020-09-29 00:00:00 UTC,10672.02854425897,197720212770.89465,19869963340.485493
2020-09-30 00:00:00 UTC,10837.516586513004,200532996047.58585,18308943800.639038
2020-10-01 00:00:00 UTC,10770.881347466415,199310441688.83572,18558607662.6852
2020-10-02 00:00:00 UTC,10627.976063963179,196617081790.5188,20889752499.95891
2020-10-03 00:00:00 UTC,10572.674843011133,195660035179.73257,21258724984.475838
2020-10-04 00:00:00 UTC,10546.65625537982,195188285650.34625,16039831144.937496
2020-10-05 00:00:00 UTC,10670.700811335208,197494664453.7935,16029160487.55924
2020-10-06 00:00:00 UTC,10784.94940309411,199530129891.0881,17853484006.269306
2020-10-07 00:00:00 UTC,10605.95779130622,196314284797.01337,19419734685.095844
2020-10-08 00:00:00 UTC,10668.011010796896,197575523784.584,17222472599.6063
2020-10-09 00:00:00 UTC,10888.666546835811,201518932273.67853,19767968267.462948
2020-10-10 00:00:00 UTC,11063.2523862591,204809205392.17957,19254933802.105747
2020-10-11 00:00:00 UTC,11286.541942043945,209268690952.5854,19496631246.27072
2020-10-12 00:00:00 UTC,11377.814876756858,210799352797.1382,16270141989.732687
2020-10-13 00:00:00 UTC,11543.183760771468,213726225963.20517,20957733313.86495
2020-10-14 00:00:00 UTC,11426.105544220427,211576163357.66504,19556025069.397404
2020-10-15 00:00:00 UTC,11435.57243757972,211756280001.1405,20441486195.023685
2020-10-16 00:00:00 UTC,11495.584995733887,212878404236.874,20511481706.663586
2020-10-17 00:00:00 UTC,11319.097785677623,209993205751.02322,20436703034.239178
2020-10-18 00:00:00 UTC,11365.814131026178,210421523306.69058,15650920221.099894
